what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1326242224807
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326242224953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326242253636
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1326242254790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326242259316
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1326242295988
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1326242295990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326242296463
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326242296936
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326242297024
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1326242297422
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1326242300278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326242304868
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1326242312617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326242312827
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1326242312870
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326242312918
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1326242312978
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326242321162
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326242572282
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1326242580860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1326242583097
